	GBMNE53834-22|Panthera	GBMNE53832-22|Panthera	GBMA1900-09|Panthera	GBMA1902-09|Panthera	GBMA1903-09|Panthera	GBMA1905-09|Panthera	GBMA1899-09|Panthera	GBMA1904-09|Panthera	GBMA1917-09|Panthera	GBMA1898-09|Panthera	ABRMM057-06|Panthera	ABRMM042-06|Panthera	WBR013-11|Panthera	GBMA4980-13|Panthera	GBMA4979-13|Panthera	CYTC915-12|Panthera	CYTC914-12|Panthera	GBMA1976-09|Panthera	GBGC15966-19|Panthera	GBGC15965-19|Panthera	GBGC15968-19|Panthera	GBMA9667-15|Panthera	GBGC15937-19|Panthera	GBMA9665-15|Panthera	GBMA20973-19|Panthera	GBMA9666-15|Panthera	GBGC15969-19|Panthera	GBMIN43457-14|Panthera	GBGC15941-19|Panthera	GBGC15943-19|Panthera	GBGC15944-19|Panthera	GBGC15945-19|Panthera	GBGC15946-19|Panthera	GBGC15947-19|Panthera	GBGC15948-19|Panthera	GBGC15949-19|Panthera	GBGC15950-19|Panthera	GBGC15951-19|Panthera	GBGC15952-19|Panthera	GBGC15953-19|Panthera	GBGC15954-19|Panthera	GBGC15955-19|Panthera	GBGC15956-19|Panthera	GBGC15958-19|Panthera	GBGC15959-19|Panthera	GBGC15960-19|Panthera	GBGC15961-19|Panthera	GBGC15963-19|Panthera	GBMNA13471-19|Panthera	GBMTG1788-16|Panthera	GBGC15936-19|Panthera	GBGC15967-19|Panthera	GBGC15938-19|Panthera	GBGC15940-19|Panthera	GBGC15942-19|Panthera	GBGC15957-19|Panthera	GBGC15962-19|Panthera	GBGC15964-19|Panthera	GBGC15970-19|Panthera	GBMA18164-19|Panthera	GBMA18165-19|Panthera	GBMA28136-19|Panthera	GBMTG1230-16|Panthera	GBGC15939-19|Panthera	CYTC919-12|Panthera	CYTC916-12|Panthera	CYTC917-12|Panthera	CYTC3092-12|Panthera	CYTC2974-12|Panthera	CYTC918-12|Panthera	GBAAZ20182-24|Panthera	GBMNE53824-22|Panthera	GBMNE53823-22|Panthera	GBMNE53840-22|Panthera	GBMNE53825-22|Panthera	GBMNE53826-22|Panthera	GBMNE53827-22|Panthera	GBMNE53828-22|Panthera	GBMNE53829-22|Panthera	GBMNE53831-22|Panthera	GBMNE53833-22|Panthera	GBMNE53835-22|Panthera	GBMNE53836-22|Panthera	GBMNE53837-22|Panthera	GBMNE53839-22|Panthera	GBMNE53842-22|Panthera	GBMNE53830-22|Panthera	GBMNE53838-22|Panthera	GBMNE53841-22|Panthera
GBMNE53834-22|Panthera	0.0	0.0012894906511927789	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.09929078014184398	0.09800128949065119	0.09864603481624758	0.09864603481624758	0.09993552546744036	0.052869116698903935	0.041908446163765316	0.041263700838168924	0.2624113475177305	0.2617666021921341	0.2585428755641522	0.2585428755641522	0.19084461637653127	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6447453255963894	0.6118633139909736	0.6105738233397808	0.6099290780141844	0.6099290780141844	0.6105738233397808	0.6105738233397808	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6118633139909736	0.6125080593165699	0.6125080593165699	0.6118633139909736	0.6118633139909736	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6112185686653772	0.6118633139909736	0.23339780786589298	0.23339780786589298	0.23339780786589298	0.23468729851708575	0.23404255319148937	0.23404255319148937	0.6131528046421664	0.003223726627981947	0.003223726627981947	0.004513217279174726	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0019342359767891683	0.0025789813023855577	0.0025789813023855577	0.0025789813023855577
GBMNE53832-22|Panthera	0.0012894906511927789	0.0	0.09606705351386202	0.09606705351386202	0.09606705351386202	0.09800128949065119	0.09671179883945841	0.0973565441650548	0.0973565441650548	0.09864603481624758	0.05157962604771115	0.04061895551257253	0.039974210186976146	0.2611218568665377	0.26047711154094133	0.2572533849129594	0.2572533849129594	0.1895551257253385	0.6092843326885881	0.6092843326885881	0.6092843326885881	0.6434558349451966	0.6105738233397808	0.6092843326885881	0.6086395873629916	0.6086395873629916	0.6092843326885881	0.6092843326885881	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6105738233397808	0.6112185686653772	0.6112185686653772	0.6105738233397808	0.6105738233397808	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6099290780141844	0.6105738233397808	0.23210831721470018	0.23210831721470018	0.23210831721470018	0.23339780786589298	0.2327530625402966	0.2327530625402966	0.6118633139909736	0.0019342359767891683	0.0019342359767891683	0.003223726627981947	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0012894906511927789	0.0012894906511927789	0.0012894906511927789
GBMA1900-09|Panthera	0.0973565441650548	0.09606705351386202	0.0	0.0	0.0	0.003223726627981947	0.0006447453255963894	0.0025789813023855577	0.003223726627981947	0.0038684719535783366	0.06963249516441006	0.058027079303675046	0.05738233397807866	0.16634429400386846	0.16634429400386846	0.16247582205029013	0.16247582205029013	0.09477756286266925	0.5145067698259188	0.5145067698259188	0.5145067698259188	0.5525467440361057	0.5157962604771116	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5145067698259188	0.5145067698259188	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5190199871050934	0.5190199871050934	0.5157962604771116	0.5157962604771116	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5157962604771116	0.16827852998065765	0.16956802063185042	0.16956802063185042	0.16956802063185042	0.16892327530625403	0.16892327530625403	0.5170857511283043	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.0973565441650548	0.0973565441650548	0.09606705351386202
GBMA1902-09|Panthera	0.0973565441650548	0.09606705351386202	0.0	0.0	0.0	0.003223726627981947	0.0006447453255963894	0.0025789813023855577	0.003223726627981947	0.0038684719535783366	0.06963249516441006	0.058027079303675046	0.05738233397807866	0.16634429400386846	0.16634429400386846	0.16247582205029013	0.16247582205029013	0.09477756286266925	0.5145067698259188	0.5145067698259188	0.5145067698259188	0.5525467440361057	0.5157962604771116	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5145067698259188	0.5145067698259188	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5190199871050934	0.5190199871050934	0.5157962604771116	0.5157962604771116	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5157962604771116	0.16827852998065765	0.16956802063185042	0.16956802063185042	0.16956802063185042	0.16892327530625403	0.16892327530625403	0.5170857511283043	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.0973565441650548	0.0973565441650548	0.09606705351386202
GBMA1903-09|Panthera	0.0973565441650548	0.09606705351386202	0.0	0.0	0.0	0.003223726627981947	0.0006447453255963894	0.0025789813023855577	0.003223726627981947	0.0038684719535783366	0.06963249516441006	0.058027079303675046	0.05738233397807866	0.16634429400386846	0.16634429400386846	0.16247582205029013	0.16247582205029013	0.09477756286266925	0.5145067698259188	0.5145067698259188	0.5145067698259188	0.5525467440361057	0.5157962604771116	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5145067698259188	0.5145067698259188	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5190199871050934	0.5190199871050934	0.5157962604771116	0.5157962604771116	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5157962604771116	0.16827852998065765	0.16956802063185042	0.16956802063185042	0.16956802063185042	0.16892327530625403	0.16892327530625403	0.5170857511283043	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.09671179883945841	0.0973565441650548	0.0973565441650548	0.09606705351386202
GBMA1905-09|Panthera	0.09929078014184398	0.09800128949065119	0.003223726627981947	0.003223726627981947	0.003223726627981947	0.0	0.0038684719535783366	0.0006447453255963894	0.0012894906511927789	0.0070921985815602835	0.07156673114119923	0.059961315280464215	0.05931656995486783	0.16956802063185042	0.16763378465506126	0.16569954867827208	0.16569954867827208	0.09800128949065119	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5557704706640877	0.5190199871050934	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5177304964539007	0.5177304964539007	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5222437137330754	0.5222437137330754	0.5190199871050934	0.5177304964539007	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5190199871050934	0.17150225660863957	0.17279174725983237	0.17279174725983237	0.17279174725983237	0.1708575112830432	0.1708575112830432	0.5190199871050934	0.09993552546744036	0.09993552546744036	0.09993552546744036	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.09929078014184398	0.09929078014184398	0.09800128949065119
GBMA1899-09|Panthera	0.09800128949065119	0.09671179883945841	0.0006447453255963894	0.0006447453255963894	0.0006447453255963894	0.0038684719535783366	0.0	0.003223726627981947	0.0038684719535783366	0.004513217279174726	0.07027724049000644	0.05867182462927144	0.058027079303675046	0.16698903932946485	0.16698903932946485	0.16312056737588654	0.16312056737588654	0.09542230818826564	0.5151515151515151	0.5151515151515151	0.5151515151515151	0.5531914893617021	0.5164410058027079	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5151515151515151	0.5151515151515151	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5164410058027079	0.5196647324306899	0.5196647324306899	0.5164410058027079	0.5164410058027079	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5157962604771116	0.5164410058027079	0.16892327530625403	0.1702127659574468	0.1702127659574468	0.1702127659574468	0.16956802063185042	0.16956802063185042	0.5177304964539007	0.09864603481624758	0.09864603481624758	0.09864603481624758	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.0973565441650548	0.09800128949065119	0.09800128949065119	0.09671179883945841
GBMA1904-09|Panthera	0.09864603481624758	0.0973565441650548	0.0025789813023855577	0.0025789813023855577	0.0025789813023855577	0.0006447453255963894	0.003223726627981947	0.0	0.0006447453255963894	0.006447453255963894	0.07221147646679561	0.06060606060606061	0.059961315280464215	0.16892327530625403	0.16827852998065765	0.1650548033526757	0.1650548033526757	0.0973565441650548	0.5170857511283043	0.5170857511283043	0.5170857511283043	0.5551257253384912	0.5183752417794971	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5170857511283043	0.5170857511283043	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.521598968407479	0.521598968407479	0.5183752417794971	0.5183752417794971	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5183752417794971	0.1708575112830432	0.172147001934236	0.172147001934236	0.172147001934236	0.17150225660863957	0.17150225660863957	0.5196647324306899	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09864603481624758	0.09864603481624758	0.0973565441650548
GBMA1917-09|Panthera	0.09864603481624758	0.0973565441650548	0.003223726627981947	0.003223726627981947	0.003223726627981947	0.0012894906511927789	0.0038684719535783366	0.0006447453255963894	0.0	0.0070921985815602835	0.07221147646679561	0.06060606060606061	0.059961315280464215	0.16956802063185042	0.16892327530625403	0.16569954867827208	0.16569954867827208	0.09800128949065119	0.5177304964539007	0.5177304964539007	0.5177304964539007	0.5557704706640877	0.5190199871050934	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5177304964539007	0.5177304964539007	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5222437137330754	0.5222437137330754	0.5190199871050934	0.5190199871050934	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5190199871050934	0.17150225660863957	0.17279174725983237	0.17279174725983237	0.17279174725983237	0.172147001934236	0.172147001934236	0.5203094777562862	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09800128949065119	0.09864603481624758	0.09864603481624758	0.0973565441650548
GBMA1898-09|Panthera	0.09993552546744036	0.09864603481624758	0.0038684719535783366	0.0038684719535783366	0.0038684719535783366	0.0070921985815602835	0.004513217279174726	0.006447453255963894	0.0070921985815602835	0.0	0.0735009671179884	0.061895551257253385	0.06125080593165699	0.1702127659574468	0.1702127659574468	0.16634429400386846	0.16634429400386846	0.09864603481624758	0.5183752417794971	0.5183752417794971	0.5183752417794971	0.5551257253384912	0.5196647324306899	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5183752417794971	0.5183752417794971	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5196647324306899	0.5164410058027079	0.5164410058027079	0.5196647324306899	0.5196647324306899	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5190199871050934	0.5196647324306899	0.172147001934236	0.172147001934236	0.172147001934236	0.17343649258542876	0.17279174725983237	0.17279174725983237	0.5209542230818827	0.10058027079303675	0.10058027079303675	0.10058027079303675	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09929078014184398	0.09993552546744036	0.09993552546744036	0.09864603481624758
